Smiles,Molecule ChEMBL ID,pChEMBL Value,Molecular Weight,AlogP,#RO5 Violations,Document Year,Source Description,Time_hr,Source_Type,Journal
O=C(NNc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,CHEMBL526897,5.3448615651886175,386.41,4.13,0.0,2009,Scientific Literature,,Patent,
O=C(NNc1ccccc1)c1cc2ccccc2oc1=O,CHEMBL1830830,5.3448615651886175,280.28,2.55,0.0,2011,Scientific Literature,,Patent,
O=C(NNc1nc2ccccc2nc1Cc1ccccc1)c1ccc(O)cc1,CHEMBL3408911,7.769551078621726,370.41,3.68,0.0,2022,Scientific Literature,,Article,J Med Chem
O=C(NO)c1ccc(/C=C/c2ccnc(-c3ccccc3O)c2)cc1,CHEMBL5075646,4.158640529545145,332.36,3.74,0.0,2021,Scientific Literature,,Article,J Med Chem
O=C(NO)c1ccc(CCCN2CCC(CN[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,CHEMBL4749146,5.180456064458132,407.56,3.6,0.0,2021,Scientific Literature,,Patent,
O=C(NO)c1ccc(CNC2CC2c2ccccc2)cc1,CHEMBL4169910,1.229999999967245,282.34,2.45,0.0,2017,Scientific Literature,,Patent,
O=C(N[C@@H](CCCCNC1CC1c1ccccc1)C(=O)NCc1ccc(Cl)cc1)c1ccc(-c2ccccc2)cc1,CHEMBL3764353,1.229999999967245,566.15,6.74,2.0,2022,Scientific Literature,,Patent,
O=C(N[C@@H](CCCCNC1CC1c1ccccc1)C(=O)NCc1cccc(C(F)(F)F)c1)c1ccc(-c2ccccc2)cc1,CHEMBL3764836,1.229999999967245,599.7,7.1,2.0,2020,Scientific Literature,,Patent,
O=C(N[C@@H](CCCCNC1CC1c1ccccc1)C(=O)NCc1cccc(Cl)c1)c1ccc(-c2ccccc2)cc1,CHEMBL4851132,1.229999999967245,566.15,6.74,2.0,2020,Scientific Literature,,Patent,
O=C(N[C@@H](CCCCNC1CC1c1ccccc1)C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)cc1,CHEMBL3765529,1.229999999967245,531.7,6.08,2.0,2020,Scientific Literature,,Patent,
O=C(N[C@@H](CCCCN[C@@H]1C[C@H]1c1ccccc1)C(=O)NCc1cccc(Cl)c1)c1ccc(-c2ccccc2)cc1,CHEMBL3785355,1.229999999967245,566.15,6.74,2.0,2016,Scientific Literature,,Patent,
O=C(Nc1c(F)c(F)c(F)c(F)c1F)c1cc2ccccc2oc1=O,CHEMBL469768,6.337242168318426,355.22,3.74,0.0,2009,Scientific Literature,,Patent,
O=C(Nc1c(F)c(F)nc(F)c1F)c1cc2ccccc2oc1=O,CHEMBL513549,6.236572006437063,338.22,3.0,0.0,2009,Scientific Literature,,Patent,
O=C(Nc1c(F)cccc1F)c1cc2ccccc2oc1=O,CHEMBL472069,5.034798298974088,301.25,3.32,0.0,2009,Scientific Literature,,Patent,
O=C(Nc1cc(Cl)cc(Cl)c1)c1ccc2[nH]ncc2c1,CHEMBL3319246,8.560667306169737,306.15,4.12,0.0,2014,Scientific Literature,,Patent,
O=C(Nc1cc(Cl)cc(Cl)c1)c1ccc2c(c1)OCCO2,CHEMBL5573800,7.42021640338319,324.16,4.02,0.0,2024,Scientific Literature,,Patent,
O=C(Nc1cc(Cl)cc(Cl)c1)c1ccc2cn[nH]c2c1,CHEMBL3319259,6.474955192963154,306.15,4.12,0.0,2014,Scientific Literature,,Article,Eur J Med Chem
